school,school_name,postal_code,address,telephone,lat,lon
國小,國立北教大實小,106,臺北市大安區龍淵里和平東路2段94號,02-2735-6186,25.0250425,121.540946
國小,國立政大實小,116,臺北市文山區指南路三段12號,02-2939-3610,24.9848367,121.57996
國小,松山國小,105,臺北市松山區八德路四段746號,02-2767-2907,25.0500085,121.5774764
國小,西松國小,105,臺北市松山區東光里三民路5號,02-2760-9221,25.0522116,121.5636714
國小,敦化國小,105,臺北市松山區中正里敦化北路2號,02-2741-4065,25.049216,121.548605
國小,民生國小,105,臺北市松山區敦化北路199巷18號,02-2712-2452,25.0565153,121.5521795
國小,民權國小,105,臺北市松山區民權東路四段200號,02-2765-2327,25.0625251,121.562292
國小,民族國小,105,臺北市松山區民生東路4段97巷7號,02-2712-4872,25.0594726,121.5518154
國小,三民國小,105,臺北市松山區莊敬里民權東路五段1號,02-2764-6080,25.0631782,121.5642857
國小,健康國小,105,臺北市松山區延壽街168號,02-2528-2814,25.0566674,121.5627846
國小,興雅國小,110,臺北市信義區雅祥里基隆路1段83巷9號,02-2761-8156,25.046751,121.5700216
國小,永春國小,110,臺北市信義區永春里松山路225巷48號,02-2764-1314,25.0446527,121.5790792
國小,光復國小,110,臺北市信義區光復南路271號,02-2758-5076,25.0402704,121.5578527
國小,三興國小,110,臺北市信義區景聯里基隆路2段99號,02-2738-5488,25.029467,121.558267
國小,信義國小,110,臺北市信義區松勤街60號,02-2720-4005,25.0318599,121.563206
國小,吳興國小,110,臺北市信義區松仁路226號,02-2720-0226,25.0257433,121.568716
國小,福德國小,110,臺北市信義區中行里褔德街253號,02-2727-7992,25.0388994,121.5865035
國小,永吉國小,110,臺北市信義區永春里松山路287巷5號,02-8785-8111,25.0430088,121.5798853
國小,博愛國小,110,臺北市信義區松仁路22鄰95巷20號,02-2345-0616,25.0394125,121.5681958
國小,龍安國小,106,臺北市大安區龍門里新生南路3段33號,02-2363-2077,25.0239215,121.5348854
國小,大安國小,106,臺北市大安區芳和里臥龍街129號,02-2732-2332,25.0200093,121.549095
國小,幸安國小,106,臺北市大安區民炤里仁愛路3段22號,02-2707-4191,25.037684,121.5349702
國小,建安國小,106,臺北市大安區龍雲里大安路2段99號,02-2707-7119,25.029377,121.546245
國小,仁愛國小,106,臺北市大安區敦安里安和路1段60號,02-2709-5010,25.0357732,121.55235
國小,金華國小,106,臺北市大安區永康里愛國東路79巷11號,02-2391-7402,25.0322754,121.527675
國小,古亭國小,106,臺北市大安區古風里羅斯福路3段201號,02-2363-9795,25.0205827,121.5287775
國小,銘傳國小,106,臺北市大安區農場里羅斯褔路四段21號,02-2363-9815,25.0261583,121.5427093
國小,公館國小,106,臺北市大安區基隆路4段41巷68弄2號,02-2735-1734,25.0124078,121.5428079
國小,新生國小,106,臺北市大安區新生南路二段36號,02-2391-3122,25.0298199,121.53362
國小,和平實小,106,臺北市大安區敦南街76巷28號,02-2733-5900,25.020715,121.546668
國小,中山國小,104,臺北市中山區恆安里民權東路1段69號,02-2591-4085,25.063613,121.526363
國小,中正國小,104,臺北市中山區力行里龍江路62號,02-2507-0932,25.05049,121.5400725
國小,長安國小,104,臺北市中山區興亞里吉林路15號,02-2561-7600,25.0497694,121.5301634
國小,長春國小,104,臺北市中山區中央里長春路165號,02-2502-4366,25.0549363,121.5339007
國小,大直國小,104,臺北市中山區大直里大直街2號,02-2533-3953,25.0804934,121.5460971
國小,大佳國小,104,臺北市中山區大佳里6鄰濱江街107號,02-2503-5816,25.073294,121.5363674
國小,五常國小,104,臺北市中山區下埤里五常街16號,02-2502-3416,25.0641393,121.5422023
國小,吉林國小,104,臺北市中山區中原里長春路116號,02-2521-9196,25.054721,121.5296301
國小,懷生國小,104,臺北市中山區埤頭里安東街16巷2號,02-2771-0846,25.0452404,121.5417844
國小,永安國小,104,臺北市中山區明水路397巷19弄1號,02-2533-5672,25.0787761,121.5494063
國小,濱江國小,104,臺北市中山區樂群二路266巷99號,02-8502-1571,25.0780014,121.5616369
國小,螢橋國小,100,臺北市中正區螢雪里詔安街29號,02-2305-4620,25.0250745,121.514332
國小,河堤國小,100,臺北市中正區汀州路二段180號,02-2367-7144,25.0232298,121.522699
國小,忠義國小,100,臺北市中正區中華路二段307巷17號,02-2303-8752,25.02963,121.5063464
國小,國語實小,100,臺北市中正區龍光里南海路58號,02-2303-3555,25.0307489,121.5105903
國小,南門國小,100,臺北市中正區南門里廣州街6號,02-2371-5052,25.0352657,121.5090687
國小,東門國小,100,臺北市中正區東門里仁愛路一段2-4號,02-2341-2822,25.03862,121.520868
國小,忠孝國小,100,臺北市中正區梅花里忠孝東路2段101號,02-2391-8170,25.04293,121.531552
國小,市大附小,100,臺北市中正區黎明里公園路29號,02-2311-0395,25.0360732,121.5152463
國小,蓬萊國小,103,臺北市大同區星明里寧夏路35號,02-2556-9835,25.0563873,121.5157097
國小,日新國小,103,臺北市大同區星明里太原路151號,02-2558-4819,25.054494,121.5165179
國小,太平國小,103,臺北市大同區南芳里延平北路2段239號,02-2553-2229,25.061412,121.511472
國小,永樂國小,103,臺北市大同區南芳里延平北路2段266號,02-2553-4882,25.061261,121.511118
國小,雙蓮國小,103,臺北市大同區民權里錦西街51號,02-2557-0309,25.060161,121.5166898
國小,大同國小,103,臺北市大同區蓬萊里大龍街51號,02-2596-5407,25.0652808,121.5161749
國小,大龍國小,103,臺北市大同區保安里哈密街47號,02-2594-2635,25.073409,121.5166925
國小,延平國小,103,臺北市大同區國慶里昌吉街97號,02-2594-2439,25.0660466,121.5124544
國小,大橋國小,103,臺北市大同區隆和里重慶北路3段2號,02-2594-4413,25.064112,121.512544
國小,新和國小,108,臺北市萬華區西藏路125巷31號,02-2303-8298,25.0259828,121.5033372
國小,雙園國小,108,臺北市萬華區雙園里莒光路315號,02-2306-1893,25.0303916,121.4982608
國小,東園國小,108,臺北市萬華區全德里東園街195號,02-2303-4803,25.023163,121.4978675
國小,大理國小,108,臺北市萬華區綠堤里艋舺大道389號,02-2306-4311,25.031305,121.4939132
國小,西園國小,108,臺北市萬華區日善里東園街73巷65號,02-2303-0257,25.0266629,121.4988835
國小,萬大國小,108,臺北市萬華區全德里萬大路346號,02-2303-7654,25.0229842,121.4993232
國小,華江國小,108,臺北市萬華區環河南路2段250巷42弄2號,02-2306-4352,25.0340691,121.4911815
國小,西門國小,108,臺北市萬華區西門里成都路98號,02-2311-3519,25.043172,121.5035971
國小,老松國小,108,臺北市萬華區福音里桂林路64號,02-2336-1266,25.038046,121.502725
國小,龍山國小,108,臺北市萬華區青山里和平西路三段235號,02-2308-2977,25.035889,121.496113
國小,福星國小,108,臺北市萬華區福星里中華路一段66號,02-2314-4668,25.0467829,121.5089051
國小,景美國小,116,臺北市文山區景行里景文街108號,02-2932-2151,24.9895266,121.5407811
國小,武功國小,116,臺北市文山區萬祥里興隆路1段68號,02-2931-4360,25.0038887,121.5404927
國小,興德國小,116,臺北市文山區興邦里興隆路2段235號,02-2932-9431,25.0016222,121.5507703
國小,溪口國小,116,臺北市文山區景慶里景福街225號,02-2935-0955,24.99413,121.5387574
國小,興隆國小,116,臺北市文山區興望里福興路2號,02-2932-3131,25.0024355,121.5518875
國小,志清國小,116,臺北市文山區景仁里景福街21巷5號,02-2932-3875,24.9986645,121.5389076
國小,景興國小,116,臺北市文山區興安里景華街150巷21號,02-2932-9439,24.9964339,121.5482935
國小,木柵國小,116,臺北市文山區木柵里木柵路3段191號,02-2939-1234,24.9902695,121.5701489
國小,永建國小,116,臺北市文山區華興里試院路2號,02-2236-3855,24.9875796,121.5500432
國小,實踐國小,116,臺北市文山區樟文里忠順街1段4號,02-2936-0725,24.9837272,121.5576388
國小,博嘉國小,116,臺北市文山區木柵路4段159巷14號之1,02-2230-2585,25.000695,121.575404
國小,指南國小,116,臺北市文山區指南路三段38巷5-2號,02-2939-3546,24.9763942,121.5836353
國小,明道國小,116,臺北市文山區明興里木柵路2段138巷61號,02-2939-2821,24.9873333,121.5625578
國小,萬芳國小,116,臺北市文山區萬芳里萬和街1號,02-2230-1232,25.0013132,121.5677338
國小,力行國小,116,臺北市文山區樟腳里木新路3段155巷7號,02-2936-3995,24.9809691,121.5611618
國小,萬興國小,116,臺北市文山區萬興里秀明路2段114號,02-2938-1721,24.9904294,121.5765927
國小,萬福國小,116,臺北市文山區羅斯福5段170巷32號,02-2935-3123,25.0048928,121.5367124
國小,興華國小,116,臺北市文山區興光里興隆路3段125巷6號,02-2239-3070,24.9988344,121.5587218
國小,辛亥國小,116,臺北市文山區興昌里辛亥路4段103號,02-2935-7282,25.0064295,121.5592422
國小,南港國小,115,臺北市南港區三重里惠民街67號,02-2783-4678,25.057689,121.6101081
